Período;ARS;Hospital;Localização Geográfica;Grupo Hospitalar;DDD Consumidas de Cefalosporinas;DDD Consumidas dos Restantes Antibióticos;Peso
2015-03;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;3479;13503;0.20487554751569345
2015-03;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;4169;29281;0.12464210296565971
2015-03;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4403;16209;0.21363075664702316
2015-03;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2109;14552;0.12659603821572155
2015-03;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;1346;5009;0.21186254952094624
2015-03;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;58;377;0.13461905671185806
2015-04;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;72;142;0.33836624080526534
2015-04;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;128;328;0.28129717349435207
2015-04;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;549;1550;0.2617264828107293
2015-04;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1847;4548;0.2888161360028142
2015-04;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1581;5514;0.22287039227430513
2015-04;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;2152;6042;0.26260677138817345
2015-04;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1183;5499;0.17707025712685226
2015-04;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;1312;4541;0.22417008313403924
2015-04;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2440;9361;0.20675251471709674
2015-04;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;3285;12254;0.21143610959917847
2015-04;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2419;12676;0.16029708462937553
2015-04;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;3792;26995;0.1231801356338125
2015-04;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;479;0.0
2015-05;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;411;1493;0.2161165982595223
2015-05;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;819;4343;0.1588038695084258
2015-05;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1582;4984;0.24097101987907588
2015-05;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;1892;8145;0.18850625242884256
2015-05;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;932;4192;0.18199020648908165
2015-05;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;3656;12271;0.2295330267078117
2015-05;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;716;1349;0.34690643834195717
2015-06;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;251;1968;0.11334938311984254
2015-06;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2530;8309;0.23344962977755182
2015-06;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1667;5031;0.24888715641657858
2015-06;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;822;2650;0.23692820819571814
2015-06;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6202;29093;0.17574074772582784
2015-07;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;903;2786;0.24484890331489914
2015-07;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;399;1871;0.17601501256725907
2015-07;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;441;1762;0.20027876522133733
2015-07;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;1752;5344;0.24692593619724093
2015-07;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;2653;9165;0.22449812260154603
2015-07;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2431;13650;0.15120651429260895
2015-08;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;312;1276;0.19669895443577992
2015-08;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1389;4866;0.22204052687281625
2015-08;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1322;4958;0.210528543523472
2015-08;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;912;5286;0.14721774703821197
2015-08;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6504;27132;0.19337050565701547
2015-08;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;4640;16202;0.22263527047415954
2015-08;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;183;0.0027247956403269754
2015-09;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;128;276;0.31737619972914083
2015-09;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;1087;6274;0.14775760433859939
2015-09;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;771;4547;0.1450243352202702
2015-09;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;1878;7012;0.2112999577555405
2015-09;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;1110;5240;0.1749082733015175
2015-09;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;3508;12109;0.22465591159749315
2015-09;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2405;12029;0.16665622533096994
2015-09;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;4174;24014;0.1480985866330905
2015-09;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2074;12787;0.13959221239580752
2015-09;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;5007;16673;0.23095946191148342
2015-09;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;724;1248;0.3670359776482374
2015-10;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;83;363;0.1870342771982117
2015-10;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;2;0.08571428571428562
2015-10;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;470;1643;0.22259645170374534
2015-10;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;631;1773;0.26267146561450494
2015-10;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;921;3776;0.1961207533780787
2015-10;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;1003;4393;0.18587295809757018
2015-10;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1899;5889;0.24384674813180618
2015-10;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1494;6129;0.19602390236811065
2015-10;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2414;7983;0.23221875171744216
2015-10;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2806;5928;0.32131363355440273
2015-10;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;7690;28087;0.21495663828309738
2015-10;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4447;16448;0.2128287366252788
2015-10;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;1030;5254;0.16396486782816264
2015-11;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;1218;5136;0.19179968267229647
2015-11;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;730;2422;0.231648687675189
2015-11;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;159;1721;0.08495640178695718
2015-11;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1371;3813;0.2644408372804226
2015-11;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;1534;8271;0.15646742209631723
2015-11;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;2491;8574;0.2251278004339
2015-11;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;3444;11282;0.23388725490856524
2015-11;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6451;25474;0.2020748176801925
2015-11;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;5242;17803;0.22748154179699764
2015-12;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;92;329;0.2196574202105143
2015-12;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;0;0.5384615384615383
2015-12;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;1444;7232;0.1664479837188298
2015-12;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1898;5843;0.2452141035664834
2015-12;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1930;5363;0.26469719350073867
2015-12;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;3571;11674;0.2342354225530126
2015-12;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2073;13208;0.13570689648412088
2015-12;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;1321;5357;0.1978115023283092
2016-01;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;909;2849;0.24190243547125415
2016-01;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;356;1631;0.17933920098055867
2016-01;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;639;1970;0.24504687473871892
2016-01;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;660;3216;0.17037994583607116
2016-01;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;1315;5472;0.193792002955827
2016-01;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;447;3056;0.12765408108493748
2016-01;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2474;7343;0.2520185378898235
2016-01;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;7281;29050;0.2004145960891068
2016-01;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;647;1381;0.31902354267109134
2016-02;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;337;1640;0.17069678172399455
2016-02;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;964;5216;0.1560759986083098
2016-02;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1343;7018;0.1606467707706967
2016-02;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;1004;3916;0.2040828505198015
2016-02;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;1593;6909;0.1873919339626384
2016-02;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2128;13598;0.13535194002302708
2016-02;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6650;28200;0.19083460685336426
2016-02;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;5164;19352;0.21066111496591652
2016-02;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;17;298;0.05545286506469507
2016-02;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;25;286;0.08019246190858059
2016-03;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;471;1723;0.21474442419508813
2016-03;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;167;2474;0.06349814340819797
2016-03;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;1354;4773;0.22108791341136969
2016-03;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;2070;6850;0.2321385916380091
2016-03;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2626;10537;0.1995309852249343
2016-03;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;2095;15254;0.12079745794527634
2016-03;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1448;6064;0.19280499543792606
2016-03;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1472;7171;0.17036403157004107
2016-03;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;2539;5886;0.3014332063940118
2016-03;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;2524;10632;0.19183982221771811
2016-03;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;4374;28842;0.13168105201627256
2016-03;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4716;17429;0.21295990256146213
2016-03;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;904;5527;0.1405882568878659
2016-04;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;1;2;0.311111111111111
2016-04;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;852;3157;0.212608043251437
2016-04;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1966;5494;0.26352736187822173
2016-04;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;1634;5914;0.2165515708042571
2016-04;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1524;5504;0.21689301556800236
2016-04;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;771;2818;0.21493914319050952
2016-04;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;1929;6381;0.23221166379707955
2016-04;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2185;6287;0.2579196106216327
2016-04;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2252;12102;0.15688665879144142
2016-04;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;22;310;0.06766553890768488
2016-05;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;1;3;0.3050847457627118
2016-05;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;510;1806;0.22029003381329698
2016-05;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1436;4806;0.23007694656034391
2016-05;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;2301;6159;0.27197068933253216
2016-05;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;538;2643;0.1691960009578542
2016-05;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2446;8556;0.22235343567983018
2016-05;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;3642;12467;0.22608956757719426
2016-05;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;5806;25707;0.1842494720178263
2016-05;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;14;431;0.03139600074752381
2016-05;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;11;225;0.046413502109704706
2016-06;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;1363;5715;0.19264899444585207
2016-06;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;458;1612;0.22140257470259833
2016-06;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;2052;4926;0.294076304364514
2016-06;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;1498;5809;0.20503639167880666
2016-06;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1778;5544;0.2429082145183154
2016-06;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1468;4436;0.24869858346203008
2016-06;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2397;8756;0.21492129190356293
2016-06;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;3731;9924;0.2732266972379087
2016-06;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;793;3859;0.17051567943359305
2016-06;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2216;11229;0.16486667716331288
2016-06;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6756;26911;0.2006701640510537
2016-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2376;14792;0.13840587968671203
2016-07;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;40;195;0.17176786597865268
2016-07;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;440;1608;0.21514876906811675
2016-07;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1805;4798;0.2733760292772188
2016-07;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;694;3664;0.15927564817170906
2016-07;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6544;27437;0.19259375428417022
2016-07;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2619;13640;0.16110559974814492
2016-08;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;58;271;0.17656610854503446
2016-08;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;815;3892;0.17316974704358837
2016-08;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2421;8572;0.22025872959725093
2016-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1501;5013;0.23049085440039763
2016-08;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1602;4663;0.2558220095487734
2016-08;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;2140;4963;0.30131553151595275
2016-08;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;541;3376;0.1382163888995805
2016-08;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;1977;7869;0.20078212513397617
2016-08;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;4305;10219;0.29642668727018096
2016-08;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;892;4143;0.1772757252038325
2016-08;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;3700;16160;0.1863244992656952
2016-09;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;716;2165;0.24871988185113644
2016-09;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;245;1463;0.14347791240229857
2016-09;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1488;3852;0.27872641046898267
2016-09;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1639;4394;0.2717278180034254
2016-09;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;592;2716;0.17917244430536142
2016-09;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946, -8.6937515;Grupo C;1377;6238;0.18088280349561578
2016-09;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2282;5717;0.2853046306961076
2016-09;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;3056;9955;0.23488131868332957
2016-09;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2248;10603;0.17496853129840592
2016-10;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;2;0.0
2016-10;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;743;5350;0.122062735012127
2016-10;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2412;9230;0.20720337358308577
