Período,ARS,Hospital,Localização Geográfica,DDD Consumidas de Cefalosporinas,DDD Consumidas dos Restantes Antibióticos
2015-04,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",128,328
2015-04,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",549,1550
2015-04,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1847,4548
2015-04,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1581,5514
2015-04,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2152,6042
2015-04,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1183,5499
2015-04,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1312,4541
2015-04,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2440,9361
2015-04,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3285,12254
2015-04,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2419,12676
2015-04,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",3792,26995
2015-04,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,479
2015-05,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",411,1493
2015-05,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",819,4343
2015-05,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1582,4984
2015-05,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",1892,8145
2015-05,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",932,4192
2015-05,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3656,12271
2015-05,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",716,1349
2015-06,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",251,1968
2015-06,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2530,8309
2015-06,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1667,5031
2015-06,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",822,2650
2015-06,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6202,29093
2015-07,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",903,2786
2015-07,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",399,1871
2015-07,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",441,1762
2015-07,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",1752,5344
2015-07,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2653,9165
2015-07,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2431,13650
2015-08,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",312,1276
2015-08,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1389,4866
2015-08,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1322,4958
2015-08,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",912,5286
2015-08,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6504,27132
2015-08,LVT,"Centro Hospitalar Universitário Lisboa Central, E.P.E.","38.7166948, -9.1371248",4640,16202
2015-08,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",0,183
2015-09,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",128,276
2015-09,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1087,6274
2015-09,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",771,4547
2015-09,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",1878,7012
2015-09,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1110,5240
2015-09,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",3508,12109
2015-09,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2405,12029
2015-09,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",4174,24014
2015-09,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2074,12787
2015-09,LVT,"Centro Hospitalar Universitário Lisboa Central, E.P.E.","38.7166948, -9.1371248",5007,16673
2015-09,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",724,1248
2015-10,Centro,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,"40.297919, -8.7707806",83,363
2015-10,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,2
2015-10,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",470,1643
2015-10,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",631,1773
2015-10,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",921,3776
2015-10,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1003,4393
2015-10,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1899,5889
2015-10,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1494,6129
2015-10,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2414,7983
2015-10,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2806,5928
2015-10,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",7690,28087
2015-10,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4447,16448
2015-10,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",1030,5254
2015-11,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1218,5136
2015-11,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",730,2422
2015-11,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",159,1721
2015-11,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1371,3813
2015-11,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",1534,8271
2015-11,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2491,8574
2015-11,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3444,11282
2015-11,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6451,25474
2015-11,LVT,"Centro Hospitalar Universitário Lisboa Central, E.P.E.","38.7166948, -9.1371248",5242,17803
2015-12,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",92,329
2015-12,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,0
2015-12,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",1444,7232
2015-12,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1898,5843
2015-12,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1930,5363
2015-12,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",3571,11674
2015-12,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2073,13208
2015-12,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1321,5357
2016-01,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",909,2849
2016-01,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",356,1631
2016-01,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",639,1970
2016-01,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",660,3216
2016-01,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1315,5472
2016-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",447,3056
2016-01,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2474,7343
2016-01,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",7281,29050
2016-01,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",647,1381
2016-02,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",337,1640
2016-02,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",964,5216
2016-02,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1343,7018
2016-02,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",1004,3916
2016-02,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",1593,6909
2016-02,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2128,13598
2016-02,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6650,28200
2016-02,LVT,"Centro Hospitalar Universitário Lisboa Central, E.P.E.","38.7166948, -9.1371248",5164,19352
2016-02,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",17,298
2016-02,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",25,286
2016-03,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",471,1723
2016-03,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",167,2474
2016-03,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1354,4773
2016-03,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",2070,6850
2016-03,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2626,10537
2016-03,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",2095,15254
2016-03,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1448,6064
2016-03,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1472,7171
2016-03,Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.","41.7056054, -8.8252713",2539,5886
2016-03,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2524,10632
2016-03,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",4374,28842
2016-03,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4716,17429
2016-03,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",904,5527
2016-04,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",1,2
2016-04,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",852,3157
2016-04,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1966,5494
2016-04,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1634,5914
2016-04,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1524,5504
2016-04,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",771,2818
2016-04,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",1929,6381
2016-04,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2185,6287
2016-04,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2252,12102
2016-04,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",22,310
2016-05,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",1,3
2016-05,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",510,1806
2016-05,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1436,4806
2016-05,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2301,6159
2016-05,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",538,2643
2016-05,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2446,8556
2016-05,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3642,12467
2016-05,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",5806,25707
2016-05,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",14,431
2016-05,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",11,225
2016-06,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1363,5715
2016-06,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",458,1612
2016-06,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",2052,4926
2016-06,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1498,5809
2016-06,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1778,5544
2016-06,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1468,4436
2016-06,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2397,8756
2016-06,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",3731,9924
2016-06,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",793,3859
2016-06,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2216,11229
2016-06,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6756,26911
2016-06,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2376,14792
2016-07,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",40,195
2016-07,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",440,1608
2016-07,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1805,4798
2016-07,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",694,3664
2016-07,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6544,27437
2016-07,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2619,13640
2016-08,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",58,271
2016-08,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",815,3892
2016-08,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2421,8572
2016-08,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1501,5013
2016-08,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1602,4663
2016-08,Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.","41.7056054, -8.8252713",2140,4963
2016-08,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",541,3376
2016-08,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",1977,7869
2016-08,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",4305,10219
2016-08,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",892,4143
2016-08,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",3700,16160
2016-09,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",716,2165
2016-09,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",245,1463
2016-09,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1488,3852
2016-09,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1639,4394
2016-09,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",592,2716
2016-09,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1377,6238
2016-09,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2282,5717
2016-09,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",3056,9955
2016-09,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2248,10603
2016-10,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,2
2016-10,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",743,5350
2016-10,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2412,9230
2016-10,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2274,8738
2016-10,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",829,3861
2016-10,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3061,10906
2016-10,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6663,27147
2016-10,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",3644,23858
2016-10,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",506,1282
2016-11,Centro,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,"40.297919, -8.7707806",70,241
2016-11,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",188,256
2016-11,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",386,1418
2016-11,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",466,1488
2016-11,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1395,3776
2016-11,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1804,5597
2016-11,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1690,4839
2016-11,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2139,7766
2016-11,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1091,4174
2016-11,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6792,26944
2016-11,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",14,344
2016-12,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",1045,3799
2016-12,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",532,2041
2016-12,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",634,2322
2016-12,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",677,3036
2016-12,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",155,2340
2016-12,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",894,6336
2016-12,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1652,7576
2016-12,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1021,4410
2016-12,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2623,14652
2016-12,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6542,29482
2016-12,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1419,5220
2016-12,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",989,4856
2017-01,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1067,6683
2017-01,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2722,8280
2017-01,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1571,8400
2017-01,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1533,5221
2017-01,Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.","41.7056054, -8.8252713",3136,7100
2017-01,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3318,12469
2017-01,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2691,14662
2017-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2531,13820
2017-01,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",514,1323
2017-01,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",0,249
2017-02,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2564,9214
2017-02,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2609,8382
2017-02,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2346,5811
2017-02,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2348,11815
2017-02,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",899,4690
2017-03,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",25,157
2017-03,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,1
2017-03,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",478,1624
2017-03,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1314,4119
2017-03,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",1542,4834
2017-03,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1665,5534
2017-03,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",475,2835
