Periodo;Ano;Mes;Trimestre;Semestre;Regiao;Instituicao;Populacao_Regiao;Num_Municipios;Consumo_Carbapenemes;Consumo_Outros_Antibioticos;Consumo_Total_Antibioticos;Percentual_Carbapenemes;Consumo_Carbapenemes_Per_Capita;Total_Urgencias;Urgencias_Geral;Urgencias_Pediatricas;Urgencias_Obstetricia;Urgencias_Psiquiatrica;Total_Urgencias_Per_Capita;Total_Consultas;Primeiras_Consultas;Consultas_Subsequentes;Total_Consultas_Per_Capita;Peso_Medio_Carbapenemes
2016-02;2016;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;376.0;5755.0;6131.0;6.13;9.39;;;;;;;;;;;0.061412707775649
2016-03;2016;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;377.0;5902.0;6279.0;6.0;9.42;;;;;;;;;;;0.0601528132828695
2016-04;2016;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;401.0;5625.0;6026.0;6.65;10.02;;;;;;;;;;;0.0665875274797986
2016-05;2016;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;327.0;5526.0;5853.0;5.59;8.17;;;;;;;;;;;0.0558741396450152
2016-06;2016;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;299.0;5365.0;5664.0;5.28;7.47;;;;;;;;;;;0.0528579644923488
2016-07;2016;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;284.0;5670.0;5954.0;4.77;7.09;;;;;;;;;;;0.0477222791270175
2016-08;2016;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;455.0;5341.0;5796.0;7.85;11.37;;;;;;;;;;;0.0786138380725649
2016-09;2016;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;406.0;4913.0;5319.0;7.63;10.14;;;;;;;;;;;0.0764102873945179
2016-10;2016;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;364.0;5730.0;6094.0;5.97;9.09;;;;;;;;;;;0.0597255546693145
2016-11;2016;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;311.0;5592.0;5903.0;5.27;7.77;;;;;;;;;;;0.0527439070494239
2016-12;2016;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;366.0;6864.0;7230.0;5.06;9.14;;;;;;;;;;;0.0506618790433643
2017-01;2017;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;379.0;7244.0;7623.0;4.97;9.45;;;;;;;;;;;0.0497561044164059
2017-02;2017;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;541.0;5790.0;6331.0;8.55;13.49;;;;;;;;;;;0.0855056469185891
2017-03;2017;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;436.0;5804.0;6240.0;6.99;10.87;;;;;;;;;;;0.069931875287933
2017-04;2017;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;396.0;5326.0;5722.0;6.92;9.88;;;;;;;;;;;0.0692080797883256
2017-05;2017;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;435.0;5659.0;6094.0;7.14;10.85;;;;;;;;;;;0.0714948191664635
2017-06;2017;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;287.0;5404.0;5691.0;5.04;7.16;;;;;;;;;;;0.0504282714595046
2017-07;2017;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;428.0;5355.0;5783.0;7.4;10.67;;;;;;;;;;;0.0740997134890664
2017-08;2017;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;390.0;5070.0;5460.0;7.14;9.73;;;;;;;;;;;0.0715092583946496
2017-09;2017;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;341.0;5177.0;5518.0;6.18;8.5;;;;;;;;;;;0.0618306532500728
2017-10;2017;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;402.0;5100.0;5502.0;7.31;10.03;;;;;;;;;;;0.0730740841038895
2017-11;2017;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;363.0;6066.0;6429.0;5.65;9.05;;;;;;;;;;;0.0565716348779727
2017-12;2017;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4009920.0;66.0;413.0;6369.0;6782.0;6.09;10.3;;;;;;;;;;;0.0608948338916647
2018-01;2018;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;404.0;7054.0;7458.0;5.42;10.06;;;;;;;;;;;0.0542051958083697
2018-02;2018;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;338.0;5468.0;5806.0;5.82;8.42;;;;;;;;;;;0.0582737824352523
2018-03;2018;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;359.0;6073.0;6432.0;5.58;8.94;;;;;;;;;;;0.0559473558568643
2018-04;2018;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;244.0;6020.0;6264.0;3.9;6.08;;;;;;;;;;;0.0390793320321245
2018-05;2018;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;355.0;5834.0;6189.0;5.74;8.84;;;;;;;;;;;0.0574927565959846
2018-06;2018;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;433.0;6006.0;6439.0;6.72;10.78;;;;;;;;;;;0.0673181445082858
2018-07;2018;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;282.0;5295.0;5577.0;5.06;7.02;;;;;;;;;;;0.0507016524240033
2018-08;2018;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;404.0;5120.0;5524.0;7.31;10.06;;;;;;;;;;;0.0732667920121687
2018-09;2018;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;331.0;5425.0;5756.0;5.75;8.24;;;;;;;;;;;0.0575866983536662
2018-10;2018;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;373.0;6150.0;6523.0;5.72;9.29;;;;;;;;;;;0.0571881649203098
2018-11;2018;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;368.0;6103.0;6471.0;5.69;9.16;;;;;;;;;;;0.0568898579899688
2018-12;2018;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4016087.0;66.0;293.0;6235.0;6528.0;4.49;7.3;;;;;;;;;;;0.0449876659955234
2019-01;2019;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;391.0;7110.0;7501.0;5.21;9.67;;;;;;;;;;;0.052185959491851
2019-02;2019;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;312.0;7019.0;7331.0;4.26;7.71;;;;;;;;;;;0.0425553219455917
2019-03;2019;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;318.0;6284.0;6602.0;4.82;7.86;;;;;;;;;;;0.0481864570321196
2019-04;2019;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;317.0;6090.0;6407.0;4.95;7.84;;;;;;;;;;;0.0496060586077795
2019-05;2019;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;347.0;5952.0;6299.0;5.51;8.58;;;;;;;;;;;0.0552127391802456
2019-06;2019;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;259.0;5155.0;5414.0;4.78;6.4;;;;;;;;;;;0.0479181605827735
2019-07;2019;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;331.0;5549.0;5880.0;5.63;8.18;;;;;;;;;;;0.0564348806061173
2019-08;2019;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;296.0;5335.0;5631.0;5.26;7.32;;;;;;;;;;;0.0525761599637752
2019-09;2019;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;226.0;5166.0;5392.0;4.19;5.59;;;;;;;;;;;0.042055119707961
2019-10;2019;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;277.0;6462.0;6739.0;4.11;6.85;;;;;;;;;;;0.0411255346257676
2019-11;2019;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;333.0;6301.0;6634.0;5.02;8.23;;;;;;;;;;;0.0503152011764734
2019-12;2019;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4044113.0;66.0;393.0;6859.0;7252.0;5.42;9.72;;;;;;;;;;;0.0542106161061305
2020-01;2020;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;379.0;6704.0;7083.0;5.35;9.35;;;;;;;;;;;0.053628206782084
2020-02;2020;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;362.0;6186.0;6548.0;5.53;8.93;;;;;;;;;;;0.0552912572793792
2020-03;2020;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;394.0;5656.0;6050.0;6.51;9.72;;;;;;;;;;;0.0652089058964038
2020-04;2020;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;397.0;5147.0;5544.0;7.16;9.79;;;;;;;;;;;0.0716121987424764
2020-05;2020;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;364.0;5426.0;5790.0;6.29;8.98;;;;;;;;;;;0.0629061804186344
2020-06;2020;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;315.0;5420.0;5735.0;5.49;7.77;;;;;;;;;;;0.055043777197533
2020-07;2020;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;421.0;5907.0;6328.0;6.65;10.38;;;;;;;;;;;0.0666396047709193
2020-08;2020;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;379.0;5188.0;5567.0;6.81;9.35;;;;;;;;;;;0.068186964100072
2020-09;2020;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;452.0;4717.0;5169.0;8.74;11.15;;;;;;;;;;;0.0875778635541582
2020-10;2020;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;311.0;6294.0;6605.0;4.71;7.67;;;;;;;;;;;0.047187402901712
2020-11;2020;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;426.0;6058.0;6484.0;6.57;10.51;;;;;;;;;;;0.0657550894152827
2020-12;2020;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4055043.0;66.0;308.0;6751.0;7059.0;4.36;7.6;;;;;;;;;;;0.0436958203892807
2021-01;2021;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;434.0;7883.0;8317.0;5.22;10.67;;;;;;;;;;;0.0522173854238154
2021-02;2021;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;316.0;6948.0;7264.0;4.35;7.77;;;;;;;;;;;0.0435240340902758
2021-03;2021;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;479.0;6375.0;6854.0;6.99;11.78;;;;;;;;;;;0.0699118655841618
2021-04;2021;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;435.0;5560.0;5995.0;7.26;10.7;;;;;;;;;;;0.0725554819101749
2021-05;2021;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;480.0;5911.0;6391.0;7.51;11.8;;;;;;;;;;;0.0751686601701268
2021-06;2021;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;528.0;7073.0;7601.0;6.95;12.98;;;;;;;;;;;0.0694985906882223
2021-07;2021;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;496.0;6816.0;7312.0;6.78;12.19;;;;;;;;;;;0.0678580998169288
2021-08;2021;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;435.0;6287.0;6722.0;6.47;10.7;;;;;;;;;;;0.0648008131089019
2021-09;2021;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;431.0;5672.0;6103.0;7.06;10.6;;;;;;;;;;;0.0706906468001101
2021-10;2021;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;597.0;6479.0;7076.0;8.44;14.68;;;;;;;;;;;0.0844712681960242
2021-11;2021;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;505.0;6922.0;7427.0;6.8;12.42;;;;;;;;;;;0.0680743201823306
2021-12;2021;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4067259.0;66.0;612.0;6718.0;7330.0;8.35;15.05;;;;;;;;;;;0.0835126571485644
2022-01;2022;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;521.0;6787.0;7308.0;7.13;12.65;;;;;;;;;;;0.0713126514662167
2022-02;2022;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;501.0;5463.0;5964.0;8.4;12.16;;;;;;;;;;;0.084010422713345
2022-03;2022;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;567.0;5745.0;6312.0;8.98;13.77;;;;;;;;;;;0.0898407693898972
2022-04;2022;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;579.0;6155.0;6734.0;8.6;14.06;;;;;;;;;;;0.08608988833555
2022-05;2022;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;391.0;6842.0;7233.0;5.41;9.49;;;;;;;;;;;0.0540963432306996
2022-06;2022;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;444.0;6180.0;6624.0;6.7;10.78;;;;;;;;;;;0.0671449557275638
2022-07;2022;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;487.0;6602.0;7089.0;6.87;11.82;;;;;;;;;;;0.0688180148441612
2022-08;2022;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;463.0;6787.0;7250.0;6.39;11.24;;;;;;;;;;;0.0638610622886732
2022-09;2022;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;495.0;6109.0;6604.0;7.5;12.02;;;;;;;;;;;0.075037842422333
2022-10;2022;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;502.0;6729.0;7231.0;6.94;12.19;;;;;;;;;;;0.0694213618855189
2022-11;2022;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;516.0;7276.0;7792.0;6.62;12.53;;;;;;;;;;;0.0663149003076894
2022-12;2022;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4118481.0;66.0;428.0;6680.0;7108.0;6.02;10.39;;;;;;;;;;;0.0602958259775744
2023-01;2023;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;489.0;7479.0;7968.0;6.14;11.7;;;;;;;;;;;0.061406474789692
2023-02;2023;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;392.0;6627.0;7019.0;5.58;9.38;;;;;;;;;;;0.05586699871274
2023-03;2023;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;447.0;7057.0;7504.0;5.96;10.7;;;;;;;;;;;0.0596303205665118
2023-04;2023;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;401.0;6436.0;6837.0;5.87;9.6;;;;;;;;;;;0.0586900516950163
2023-05;2023;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;450.0;6104.0;6554.0;6.87;10.77;;;;;;;;;;;0.0686538256163769
2023-06;2023;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;604.0;6508.0;7112.0;8.49;14.45;;;;;;;;;;;0.084949371020622
2023-07;2023;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;515.0;6699.0;7214.0;7.14;12.32;;;;;;;;;;;0.0714037030131325
2023-08;2023;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;509.0;6604.0;7113.0;7.16;12.18;;;;;;;;;;;0.0716258062400207
2023-09;2023;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;522.0;5888.0;6410.0;8.14;12.49;;;;;;;;;;;0.0814487183367689
2023-10;2023;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;531.0;6009.0;6540.0;8.12;12.71;;;;;;;;;;;0.0812610663280757
2023-11;2023;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;599.0;5722.0;6321.0;9.48;14.33;;;;;;;;;;;0.0948981451680523
2023-12;2023;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4179246.0;66.0;485.0;6570.0;7055.0;6.87;11.6;;;;;;;;;;;0.0688165722601846
2013-01;2013;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;4192.0;838.0;0.0;3354.0;0.0;104.7;15368.0;3572.0;11796.0;383.84;
2013-02;2013;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;24763.0;16649.0;6549.0;1565.0;0.0;618.5;29006.0;6720.0;22286.0;724.48;
2013-03;2013;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;37806.0;25459.0;9980.0;2367.0;0.0;944.27;42412.0;9732.0;32680.0;1059.32;
2013-04;2013;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;49982.0;33785.0;13071.0;3126.0;0.0;1248.39;57385.0;13271.0;44114.0;1433.29;
2013-05;2013;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;62759.0;42446.0;16312.0;4001.0;0.0;1567.52;73636.0;17145.0;56491.0;1839.19;
2013-06;2013;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;74868.0;50869.0;19278.0;4721.0;0.0;1869.96;85422.0;19876.0;65546.0;2133.57;
2013-07;2013;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;87256.0;59802.0;21949.0;5505.0;0.0;2179.38;99444.0;23413.0;76031.0;2483.79;
2013-08;2013;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;98800.0;68283.0;24199.0;6318.0;0.0;2467.71;109852.0;25956.0;83896.0;2743.75;
2013-09;2013;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;110650.0;76499.0;27020.0;7131.0;0.0;2763.68;123682.0;29424.0;94258.0;3089.18;
2013-10;2013;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;123600.0;84960.0;30697.0;7943.0;0.0;3087.13;140401.0;33677.0;106724.0;3506.77;
2013-11;2013;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;135657.0;92967.0;34014.0;8676.0;0.0;3388.28;155157.0;37288.0;117869.0;3875.33;
2013-12;2013;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;4003714.0;66.0;;;;;;148589.0;101701.0;37421.0;9467.0;0.0;3711.28;168920.0;40673.0;128247.0;4219.08;
2014-01;2014;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;13429.0;8774.0;3825.0;830.0;0.0;335.74;16533.0;4173.0;12360.0;413.35;
2014-02;2014;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;24843.0;16304.0;6955.0;1584.0;0.0;621.11;30444.0;7680.0;22764.0;761.14;
2014-03;2014;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;37681.0;25006.0;10242.0;2433.0;0.0;942.08;45619.0;11372.0;34247.0;1140.54;
2014-04;2014;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;49410.0;33158.0;13055.0;3197.0;0.0;1235.32;59818.0;14896.0;44922.0;1495.53;
2014-05;2014;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;61837.0;41649.0;16161.0;4027.0;0.0;1546.01;75740.0;18799.0;56941.0;1893.6;
2014-06;2014;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;73852.0;50044.0;19029.0;4779.0;0.0;1846.4;89961.0;22283.0;67678.0;2249.15;
2014-07;2014;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;85559.0;58471.0;21512.0;5576.0;0.0;2139.09;104161.0;25745.0;78416.0;2604.17;
2014-08;2014;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;96658.0;66752.0;23511.0;6395.0;0.0;2416.58;114826.0;28434.0;86392.0;2870.81;
2014-09;2014;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;3999781.0;66.0;;;;;;107636.0;74805.0;25650.0;7181.0;0.0;2691.05;129867.0;32207.0;97660.0;3246.85;
