Instituicao;Regiao;Periodo;Ano;Mes;Consumo_Carbapenemes;Populacao_Regiao;Total_Urgencias;Urgencias_Geral;Urgencias_Pediatricas;Urgencias_Obstetricia;Urgencias_Psiquiatrica;Total_Consultas;valor_base_sazonal;media_3m;media_6m;tendencia_mom;tendencia_yoy;indice_sazonal;forecast_hibrido;variacao_prevista_pct
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-04-01;2014;4;0.0;3194655.0;48783.0;33923.0;12685.0;2175.0;0.0;86379.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-05-01;2014;5;0.0;3194655.0;61066.0;42274.0;15972.0;2820.0;0.0;110349.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-06-01;2014;6;0.0;3194655.0;73071.0;50751.0;18958.0;3362.0;0.0;128706.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-07-01;2014;7;0.0;3194655.0;85768.0;59911.0;21883.0;3974.0;0.0;151843.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-08-01;2014;8;0.0;3194655.0;98124.0;69269.0;24192.0;4663.0;0.0;167678.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-09-01;2014;9;0.0;3194655.0;109847.0;77740.0;26806.0;5301.0;0.0;189147.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-10-01;2014;10;0.0;3194655.0;122989.0;86653.0;30450.0;5886.0;0.0;214127.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-11-01;2014;11;0.0;3194655.0;135458.0;94905.0;34117.0;6436.0;0.0;235638.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Alto Ave;Região de Saúde Norte;2014-12-01;2014;12;0.0;3194655.0;148505.0;103582.0;37893.0;7030.0;0.0;255580.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-01-01;2013;1;0.0;1843972.0;15028.0;11420.0;3167.0;441.0;0.0;19526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-02-01;2013;2;0.0;1843972.0;28713.0;21805.0;6046.0;862.0;0.0;36621.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-03-01;2013;3;0.0;1843972.0;43882.0;33300.0;9181.0;1401.0;0.0;53845.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-04-01;2013;4;0.0;1843972.0;57939.0;43509.0;12539.0;1891.0;0.0;71998.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-05-01;2013;5;0.0;1843972.0;72507.0;54069.0;16065.0;2373.0;0.0;91182.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-06-01;2013;6;0.0;1843972.0;86543.0;64381.0;19346.0;2816.0;0.0;105980.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-07-01;2013;7;0.0;1843972.0;101598.0;75849.0;22387.0;3362.0;0.0;122579.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-08-01;2013;8;0.0;1843972.0;115387.0;86047.0;25463.0;3877.0;0.0;135301.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-09-01;2013;9;0.0;1843972.0;129068.0;96100.0;28530.0;4438.0;0.0;151924.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-10-01;2013;10;0.0;1843972.0;143669.0;106052.0;32668.0;4949.0;0.0;171704.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-11-01;2013;11;0.0;1843972.0;157418.0;115371.0;36621.0;5426.0;0.0;189189.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2013-12-01;2013;12;0.0;1843972.0;171450.0;125213.0;40324.0;5913.0;0.0;203817.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-01-01;2014;1;0.0;1828295.0;13918.0;9585.0;3836.0;497.0;0.0;19262.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-02-01;2014;2;0.0;1828295.0;26901.0;18338.0;7633.0;930.0;0.0;36729.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-03-01;2014;3;0.0;1828295.0;41022.0;28222.0;11426.0;1374.0;0.0;54758.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-04-01;2014;4;0.0;1828295.0;54668.0;39724.0;13098.0;1846.0;0.0;72228.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-05-01;2014;5;0.0;1828295.0;68380.0;49740.0;16322.0;2318.0;0.0;89612.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-06-01;2014;6;0.0;1828295.0;82195.0;59788.0;19619.0;2788.0;0.0;106338.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-07-01;2014;7;0.0;1828295.0;96410.0;70567.0;22508.0;3335.0;0.0;123685.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-08-01;2014;8;0.0;1828295.0;110599.0;81700.0;24993.0;3906.0;0.0;136462.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-09-01;2014;9;0.0;1828295.0;124405.0;92286.0;27666.0;4453.0;0.0;153577.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-10-01;2014;10;0.0;1828295.0;139407.0;103293.0;31154.0;4960.0;0.0;173563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-11-01;2014;11;0.0;1828295.0;153272.0;113139.0;34703.0;5430.0;0.0;191749.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2014-12-01;2014;12;0.0;1828295.0;168135.0;123883.0;38320.0;5932.0;0.0;207527.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-01-01;2015;1;711.0;1816620.0;15827.0;11245.0;4108.0;474.0;0.0;18380.0;0.0;237.0;118.5;0.0;0.0;1.0575111551809617;154.05;0.0
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-02-01;2015;2;696.0;1816620.0;28319.0;20411.0;7027.0;881.0;0.0;36108.0;0.0;469.0;234.5;-0.02109704641350211;0.0;1.0352007932573128;304.85;-0.5712376933895921
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-03-01;2015;3;611.0;1816620.0;41799.0;30226.0;10149.0;1424.0;0.0;55138.0;0.0;672.6666666666666;336.3333333333333;-0.1221264367816092;0.0;0.9087754090233019;437.2333333333333;-0.3717911877394636
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-04-01;2015;4;709.0;1816620.0;54943.0;39936.0;13080.0;1927.0;0.0;73381.0;0.0;672.0;454.5;0.16039279869067102;0.0;1.0545364402578086;472.35;-0.2269230769230769
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-05-01;2015;5;672.0;1816620.0;68866.0;50167.0;16205.0;2494.0;0.0;89709.0;0.0;664.0;566.5;-0.05218617771509168;0.0;0.9995042141794744;501.95;-0.2920310296191819
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-06-01;2015;6;698.0;1816620.0;82117.0;60106.0;19026.0;2985.0;0.0;106510.0;0.0;693.0;682.8333333333334;0.03869047619047619;0.0;1.038175508180466;551.35;-0.17953869047619042
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-07-01;2015;7;710.0;1816620.0;96080.0;70810.0;21729.0;3541.0;0.0;124109.0;0.0;693.3333333333334;682.6666666666666;0.017191977077363897;0.0;1.0560237977193851;551.4666666666667;-0.20993314231136573
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-08-01;2015;8;685.0;1816620.0;109647.0;81396.0;24115.0;4136.0;0.0;136832.0;0.0;697.6666666666666;680.8333333333334;-0.035211267605633804;0.0;1.0188398611799703;553.0833333333333;-0.22100938967136163
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-09-01;2015;9;635.0;1816620.0;122718.0;91334.0;26675.0;4709.0;0.0;154354.0;0.0;676.6666666666666;684.8333333333334;-0.072992700729927;0.0;0.9444719881011403;543.7833333333333;-0.20615571776155717
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-10-01;2015;10;681.0;1816620.0;137270.0;101754.0;30237.0;5279.0;0.0;172599.0;0.0;667.0;680.1666666666666;0.07244094488188976;0.0;1.0128904313336637;537.55;-0.1534645669291339
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-11-01;2015;11;610.0;1816620.0;151307.0;111725.0;33808.0;5774.0;0.0;191166.0;0.0;642.0;669.8333333333334;-0.10425844346549193;0.0;0.9072880515617253;521.95;-0.23355359765051387
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2015-12-01;2015;12;650.0;1816620.0;166177.0;122139.0;37688.0;6350.0;0.0;206391.0;0.0;647.0;661.8333333333334;0.06557377049180328;0.0;0.9667823500247892;522.05;-0.1441803278688525
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-01-01;2016;1;633.0;1805011.0;15007.0;10456.0;4020.0;531.0;0.0;17562.0;711.0;631.0;649.0;-0.026153846153846153;-0.10970464135021098;1.2889869336500934;510.2;-0.21507692307692305
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-02-01;2016;2;648.0;1805011.0;29489.0;20701.0;7760.0;1028.0;0.0;34382.0;696.0;643.6666666666666;642.8333333333334;0.023696682464454975;-0.06896551724137931;1.319531647717631;656.8833333333333;0.03773038441284893
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-03-01;2016;3;640.0;1805011.0;44416.0;31563.0;11282.0;1571.0;0.0;51929.0;611.0;640.3333333333334;643.6666666666666;-0.012345679012345678;0.04746317512274959;1.3032411335482776;652.4666666666667;0.00689300411522642
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-04-01;2016;4;532.0;1805011.0;59150.0;41963.0;15093.0;2094.0;0.0;68723.0;709.0;606.6666666666666;618.8333333333334;-0.16875;-0.24964739069111425;1.0833191922620058;611.1833333333334;-0.04502604166666657
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-05-01;2016;5;502.0;1805011.0;74714.0;53018.0;18979.0;2717.0;0.0;86262.0;672.0;558.0;600.8333333333334;-0.05639097744360902;-0.25297619047619047;1.0222297641269302;601.05;0.12979323308270674
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-06-01;2016;6;482.0;1805011.0;88349.0;63188.0;21920.0;3241.0;0.0;103017.0;698.0;505.3333333333333;572.8333333333334;-0.0398406374501992;-0.30945558739255014;0.9815034787035466;558.9166666666666;0.11337981407702524
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-07-01;2016;7;480.0;1805011.0;102960.0;74383.0;24728.0;3849.0;0.0;119595.0;710.0;488.0;547.3333333333334;-0.004149377593360996;-0.323943661971831;0.9774308501612082;547.8000000000001;0.13651452282157694
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-08-01;2016;8;382.0;1805011.0;117029.0;85415.0;27142.0;4472.0;0.0;133297.0;685.0;448.0;503.0;-0.20416666666666666;-0.44233576642335765;0.7778720515866282;516.9;0.07687500000000003
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-09-01;2016;9;364.0;1805011.0;130344.0;95558.0;29685.0;5101.0;0.0;151750.0;635.0;408.6666666666667;457.0;-0.04712041884816754;-0.4267716535433071;0.7412183947055829;478.43333333333334;0.2524432809773125
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-10-01;2016;10;535.0;1805011.0;144577.0;105790.0;33080.0;5707.0;0.0;169582.0;681.0;427.0;457.5;0.4697802197802198;-0.2143906020558003;1.0894281350755133;477.75;0.3125
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-11-01;2016;11;343.0;1805011.0;158229.0;115418.0;36527.0;6284.0;0.0;188640.0;610.0;414.0;431.0;-0.35887850467289717;-0.4377049180327869;0.6984557950110301;472.5;-0.11682242990654201
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2016-12-01;2016;12;352.0;1805011.0;173493.0;126963.0;39634.0;6896.0;0.0;203465.0;650.0;410.0;409.3333333333333;0.026239067055393587;-0.4584615384615385;0.7167826234515527;449.79999999999995;0.31137026239067045
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-01-01;2017;1;435.0;1795874.0;14180.0;10492.0;2967.0;721.0;0.0;20321.0;633.0;376.6666666666667;401.8333333333333;0.23579545454545456;-0.3127962085308057;1.506058857472591;438.8833333333333;0.2468276515151515
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-02-01;2017;2;296.0;1795874.0;26818.0;19806.0;5632.0;1380.0;0.0;37676.0;648.0;361.0;387.5;-0.3195402298850575;-0.5432098765432098;1.0248124639353722;423.35;-0.02678160919540229
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-03-01;2017;3;369.0;1795874.0;40556.0;29292.0;9693.0;1571.0;0.0;57837.0;640.0;366.6666666666667;388.3333333333333;0.24662162162162163;-0.4234375;1.2775533756491635;429.4333333333333;0.4507882882882881
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-04-01;2017;4;232.0;1795874.0;53762.0;38995.0;12651.0;2116.0;0.0;73278.0;532.0;299.0;337.8333333333333;-0.3712737127371274;-0.5639097744360902;0.8032313906520485;378.85;0.02669376693766945
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-05-01;2017;5;318.0;1795874.0;68153.0;49453.0;15973.0;2727.0;0.0;92370.0;502.0;306.3333333333333;333.6666666666667;0.3706896551724138;-0.3665338645418327;1.1009809578765148;359.66666666666663;0.5502873563218389
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-06-01;2017;6;326.0;1795874.0;81966.0;59758.0;18919.0;3289.0;0.0;110383.0;482.0;292.0;329.3333333333333;0.025157232704402517;-0.3236514522821577;1.1286785920369302;345.20000000000005;0.08553459119496876
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-07-01;2017;7;247.0;1795874.0;96044.0;70558.0;21598.0;3888.0;0.0;127962.0;480.0;297.0;298.0;-0.24233128834355827;-0.48541666666666666;0.8551644547028275;334.29999999999995;0.025460122699386467
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-08-01;2017;8;215.0;1795874.0;109677.0;81233.0;23956.0;4488.0;0.0;142552.0;382.0;262.6666666666667;284.5;-0.12955465587044535;-0.43717277486910994;0.7443739180611657;312.68333333333334;0.2659244264507423
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-09-01;2017;9;233.0;1795874.0;122914.0;91199.0;26618.0;5097.0;0.0;160009.0;364.0;231.66666666666666;261.8333333333333;0.08372093023255814;-0.3598901098901099;0.8066935949221005;270.7833333333333;0.25945736434108513
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-10-01;2017;10;291.0;1795874.0;137823.0;101763.0;30337.0;5723.0;0.0;179093.0;535.0;246.33333333333334;271.6666666666667;0.24892703862660945;-0.45607476635514016;1.0075014425851125;277.4666666666667;0.19084406294706735
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-11-01;2017;11;217.0;1795874.0;152107.0;111772.0;34026.0;6309.0;0.0;198180.0;343.0;247.0;254.83333333333334;-0.2542955326460481;-0.3673469387755102;0.7512983266012695;306.95;0.05481099656357391
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2017-12-01;2017;12;287.0;1795874.0;166613.0;122138.0;37606.0;6869.0;0.0;212946.0;352.0;265.0;248.33333333333334;0.3225806451612903;-0.1846590909090909;0.9936526255049049;275.6;0.27004608294930876
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-01-01;2018;1;250.0;1788515.0;15507.0;11019.0;3899.0;589.0;0.0;21228.0;435.0;251.33333333333334;248.83333333333334;-0.1289198606271777;-0.42528735632183906;1.146788990825688;270.7166666666667;-0.05673635307781644
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-02-01;2018;2;156.0;1788515.0;29598.0;21168.0;7326.0;1104.0;0.0;38806.0;296.0;231.0;239.0;-0.376;-0.47297297297297297;0.7155963302752294;274.2;0.0968
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-03-01;2018;3;167.0;1788515.0;43595.0;31401.0;10527.0;1667.0;0.0;57765.0;369.0;191.0;228.0;0.07051282051282051;-0.5474254742547425;0.7660550458715596;223.09999999999997;0.43012820512820493
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-04-01;2018;4;207.0;1788515.0;56752.0;41265.0;13272.0;2215.0;0.0;75669.0;232.0;176.66666666666666;214.0;0.23952095808383234;-0.10775862068965517;0.9495412844036697;226.33333333333331;0.35528942115768447
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-05-01;2018;5;189.0;1788515.0;71118.0;51867.0;16499.0;2752.0;0.0;94207.0;318.0;187.66666666666666;209.33333333333334;-0.08695652173913043;-0.4056603773584906;0.8669724770642202;203.03333333333333;-0.019162640901771333
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-06-01;2018;6;251.0;1788515.0;85096.0;62154.0;19643.0;3299.0;0.0;112504.0;326.0;215.66666666666666;203.33333333333334;0.328042328042328;-0.23006134969325154;1.151376146788991;232.4333333333333;0.2298059964726631
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-07-01;2018;7;251.0;1788515.0;100071.0;73562.0;22647.0;3862.0;0.0;131491.0;247.0;230.33333333333334;203.5;0.0;0.016194331983805668;1.151376146788991;241.41666666666669;-0.0381806108897742
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-08-01;2018;8;163.0;1788515.0;114859.0;85077.0;25319.0;4463.0;0.0;146000.0;215.0;221.66666666666666;204.66666666666666;-0.350597609561753;-0.24186046511627907;0.7477064220183486;221.63333333333333;-0.11699867197875169
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-09-01;2018;9;186.0;1788515.0;128767.0;95587.0;28072.0;5108.0;0.0;163730.0;233.0;200.0;207.83333333333334;0.1411042944785276;-0.2017167381974249;0.8532110091743119;205.35;0.25981595092024534
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-10-01;2018;10;249.0;1788515.0;143972.0;106505.0;31702.0;5765.0;0.0;184795.0;291.0;199.33333333333334;214.83333333333334;0.3387096774193548;-0.14432989690721648;1.1422018348623852;210.71666666666667;0.13288530465949822
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-11-01;2018;11;295.0;1788515.0;157688.0;116320.0;35070.0;6298.0;0.0;205755.0;217.0;243.33333333333334;232.5;0.18473895582329317;0.35944700460829493;1.353211009174312;249.61666666666667;0.002476572958500789
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2018-12-01;2018;12;252.0;1788515.0;172321.0;126493.0;38933.0;6895.0;0.0;222249.0;287.0;265.3333333333333;232.66666666666666;-0.14576271186440679;-0.12195121951219512;1.1559633027522935;245.86666666666665;-0.1665536723163843
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-01-01;2019;1;164.0;1789217.0;16073.0;11198.0;4272.0;603.0;0.0;22608.0;250.0;237.0;218.16666666666666;-0.3492063492063492;-0.344;0.7056292577984941;241.35;-0.042261904761904834
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-02-01;2019;2;149.0;1789217.0;29789.0;21146.0;7554.0;1089.0;0.0;41570.0;156.0;188.33333333333334;215.83333333333334;-0.09146341463414634;-0.04487179487179487;0.6410899964144855;208.91666666666669;0.27388211382113825
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-03-01;2019;3;208.0;1789217.0;43594.0;31087.0;10847.0;1660.0;0.0;60428.0;167.0;173.66666666666666;219.5;0.3959731543624161;0.24550898203592814;0.8949444245249194;183.88333333333333;0.2341163310961969
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-04-01;2019;4;125.0;1789217.0;57260.0;41155.0;13837.0;2268.0;0.0;79875.0;207.0;160.66666666666666;198.83333333333334;-0.39903846153846156;-0.3961352657004831;0.5378271782000718;173.38333333333333;-0.16642628205128207
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-05-01;2019;5;193.0;1789217.0;71873.0;51809.0;17198.0;2866.0;0.0;101555.0;189.0;175.33333333333334;181.83333333333334;0.544;0.021164021164021163;0.8304051631409107;183.61666666666667;0.4689333333333334
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-06-01;2019;6;194.0;1789217.0;85689.0;62124.0;20073.0;3492.0;0.0;118430.0;251.0;170.66666666666666;172.16666666666666;0.0051813471502590676;-0.22709163346613545;0.8347077805665113;174.78333333333333;-0.09438687392055267
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-07-01;2019;7;335.0;1789217.0;100569.0;73601.0;22791.0;4177.0;0.0;139130.0;251.0;240.66666666666666;200.66666666666666;0.7268041237113402;0.3346613545816733;1.4413768375761922;230.73333333333335;0.18934707903780068
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-08-01;2019;8;296.0;1789217.0;114760.0;84612.0;25204.0;4944.0;0.0;153684.0;163.0;275.0;225.16666666666666;-0.11641791044776119;0.8159509202453987;1.2735747579777699;255.25;-0.2380597014925373
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-09-01;2019;9;375.0;1789217.0;129143.0;95379.0;28083.0;5681.0;0.0;173448.0;186.0;335.3333333333333;253.0;0.2668918918918919;1.0161290322580645;1.6134815346002152;276.1666666666667;-0.06700450450450446
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-10-01;2019;10;322.0;1789217.0;144981.0;106647.0;31941.0;6393.0;0.0;196525.0;249.0;331.0;285.8333333333333;-0.14133333333333334;0.2931726907630522;1.3854428110433847;288.45;-0.2308
Centro Hospitalar Baixo Vouga;Região de Saúde do Centro;2019-11-01;2019;11;231.0;1789217.0;159827.0;116992.0;35822.0;7013.0;0.0;216750.0;295.0;309.3333333333333;292.1666666666667;-0.2826086956521739;-0.21694915254237288;0.9939046253137326;292.1166666666667;-0.0928053830227743
