Período,Hospital,Região_x,Consumo,Sobra,Região_y,nr consultas,Região,Urgências Geral,Urgências Pediátricas,Urgência Obstetricia,Urgência Psiquiátrica,Total Urgências
2015-03,"Centro Hospitalar de Setúbal, E.P.E.",LVT,319,6853,,,,,,,,
2015-03,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,971,6866,,,,,,,,
2015-03,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,522,7280,,,,,,,,
2015-03,"Hospital Garcia da Orta, E.P.E.",LVT,585,11479,,,,,,,,
2015-03,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,1159,16463,,,,,,,,
2015-03,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,1774,15211,,,,,,,,
2015-03,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,669,5299,,,,,,,,
2015-04,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,4,,,,,,,,
2015-04,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,434,4788,,,,,,,,
2015-04,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,392,3842,,,,,,,,
2015-04,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,433,10585,,,,,,,,
2015-04,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,199,4139,,,,,,,,
2015-04,"Hospital Distrital de Santarém, E.P.E.",LVT,298,8083,,,,,,,,
2015-04,Centro Hospitalar Psiquiátrico de Lisboa,LVT,0,479,Região de Saúde LVT,22169.0,,,,,,
2015-05,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,672,6516,,,,,,,,
2015-05,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,343,7514,,,,,,,,
2015-05,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",Alentejo,20,3109,,,,,,,,
2015-06,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,28,459,,,,,,,,
2015-06,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,277,6540,,,,,,,,
2015-06,"Unidade Local de Saúde de Matosinhos, E.P.E.",Norte,499,5303,,,,,,,,
2015-06,"Centro Hospitalar Universitário do Porto, E.P.E.",Norte,1506,12362,,,,,,,,
2015-06,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,50,1659,,,,,,,,
2015-07,"Centro Hospitalar do Oeste, E.P.E.",LVT,632,6411,,,,,,,,
2015-07,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,433,4311,,,,,,,,
2015-07,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,147,2599,,,,,,,,
2015-07,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,143,4175,,,,,,,,
2015-07,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,710,5791,,,,,,,,
2015-07,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,1009,6087,,,,,,,,
2015-07,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,229,3663,,,,,,,,
2015-07,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,3472,30832,,,,,,,,
2015-07,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,130,1816,,,,,,,,
2015-08,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,2,,,,,,,,
2015-08,"Centro Hospitalar do Oeste, E.P.E.",LVT,525,4805,,,,,,,,
2015-08,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,92,1496,,,,,,,,
2015-08,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,168,2004,,,,,,,,
2015-08,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,309,5409,,,,,,,,
2015-08,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,314,8322,,,,,,,,
2015-08,"Centro Hospitalar de Setúbal, E.P.E.",LVT,325,6260,,,,,,,,
2015-08,"Unidade Local de Saúde de Matosinhos, E.P.E.",Norte,447,5684,,,,,,,,
2015-08,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,497,6752,,,,,,,,
2015-08,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,201,3485,,,,,,,,
2015-08,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,829,8196,,,,,,,,
2015-08,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1247,19595,,,,,,,,
2015-08,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,525,6146,,,,,,,,
2015-09,Hospital Dr. Francisco Zagalo  - Ovar,Centro,21,382,,,,,,,,
2015-09,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,122,1738,,,,,,,,
2015-09,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,104,4469,,,,,,,,
2015-09,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,1129,5598,,,,,,,,
2015-09,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,208,3548,,,,,,,,
2015-09,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.",LVT,944,27244,,,,,,,,
2015-09,"Centro Hospitalar Universitário do Porto, E.P.E.",Norte,1536,13325,,,,,,,,
2015-10,"Centro Hospitalar do Oeste, E.P.E.",LVT,565,7503,,,,,,,,
2015-10,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,102,1977,,,,,,,,
2015-10,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,346,4350,,,,,,,,
2015-10,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,137,5259,,,,,,,,
2015-10,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,474,6885,,,,,,,,
2015-10,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,429,7022,,,,,,,,
2015-10,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,410,3980,,,,,,,,
2015-10,"Hospital Garcia da Orta, E.P.E.",LVT,430,12314,,,,,,,,
2015-10,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,893,14897,,,,,,,,
2015-10,"Centro Hospitalar Universitário do Porto, E.P.E.",Norte,1774,15216,,,,,,,,
2015-11,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,1010,5828,,,,,,,,
2015-11,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,277,3787,,,,,,,,
2015-11,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,333,9472,,,,,,,,
2015-11,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,390,4604,,,,,,,,
2015-11,Centro Hospitalar Psiquiátrico de Lisboa,LVT,0,262,Região de Saúde LVT,59386.0,,,,,,
2015-12,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,13,1909,,,,,,,,
2015-12,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,359,5537,,,,,,,,
2015-12,"Hospital Distrital de Santarém, E.P.E.",LVT,600,8608,,,,,,,,
2015-12,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,986,17029,,,,,,,,
2015-12,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,3199,29294,,,,,,,,
2016-01,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,210,,,,,,,,
2016-01,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,68,1919,,,,,,,,
2016-01,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,121,5856,,,,,,,,
2016-01,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.",Norte,152,7388,,,,,,,,
2016-01,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,394,6979,,,,,,,,
2016-01,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1902,19125,,,,,,,,
2016-01,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,503,5759,,,,,,,,
2016-01,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,582,4728,,,,,,,,
2016-02,"Centro Hospitalar do Oeste, E.P.E.",LVT,504,7692,,,,,,,,
2016-02,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,94,2342,,,,,,,,
2016-02,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,96,5088,,,,,,,,
2016-02,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,1143,7331,,,,,,,,
2016-02,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,418,7943,,,,,,,,
2016-02,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,523,8213,,,,,,,,
2016-02,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",Alentejo,26,3481,,,,,,,,
2016-02,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,266,4654,,,,,,,,
2016-02,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,545,10456,,,,,,,,
2016-02,"Hospital Garcia da Orta, E.P.E.",LVT,593,11465,,,,,,,,
2016-02,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,1463,14263,,,,,,,,
2016-02,"Hospital de Magalhaes de Lemos, E.P.E.",Norte,0,311,,,,,,,,
2016-03,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,191,,,,,,,,
2016-03,Hospital Dr. Francisco Zagalo  - Ovar,Centro,44,453,,,,,,,,
2016-03,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,2,,,,,,,,
2016-03,"Centro Hospitalar do Médio Ave, E.P.E.",Norte,144,4308,,,,,,,,
2016-03,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,186,3202,,,,,,,,
2016-03,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,26,2615,,,,,,,,
2016-03,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,640,16709,,,,,,,,
2016-03,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,268,7245,,,,,,,,
2016-03,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,687,15228,,,,,,,,
2016-03,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1932,20212,,,,,,,,
2016-03,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1299,25117,,,,,,,,
2016-03,Centro Hospitalar Psiquiátrico de Lisboa,LVT,0,585,Região de Saúde LVT,17353.0,,,,,,
2016-04,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,3,,,,,,,,
2016-04,"Centro Hospitalar do Oeste, E.P.E.",LVT,477,6539,,,,,,,,
2016-04,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,415,7587,,,,,,,,
2016-04,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,782,7690,,,,,,,,
2016-04,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1291,22624,,,,,,,,
2016-05,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,65,1916,,,,,,,,
2016-05,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,327,5526,,,,,,,,
2016-05,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.",Norte,179,5879,,,,,,,,
2016-05,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,449,7787,,,,,,,,
2016-05,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1692,19160,,,,,,,,
2016-05,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,76,1977,,,,,,,,
2016-05,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,579,6880,,,,,,,,
2016-05,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,537,5399,,,,,,,,
2016-06,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,206,,,,,,,,
2016-06,Hospital Dr. Francisco Zagalo  - Ovar,Centro,15,434,,,,,,,,
2016-06,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,4,,,,,,,,
2016-06,"Centro Hospitalar do Médio Ave, E.P.E.",Norte,143,3415,,,,,,,,
2016-06,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,109,1971,,,,,,,,
2016-06,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.",Norte,114,6864,,,,,,,,
2016-06,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,400,7232,,,,,,,,
2016-06,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,390,12543,,,,,,,,
2016-06,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,671,8140,,,,,,,,
2016-06,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,383,13271,,,,,,,,
2016-06,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,2924,30743,,,,,,,,
2016-06,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1643,19308,,,,,,,,
2016-06,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,51,1807,,,,,,,,
2016-07,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,235,,,,,,,,
2016-07,"Centro Hospitalar do Oeste, E.P.E.",LVT,544,5473,,,,,,,,
2016-07,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,103,1946,,,,,,,,
2016-07,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,184,3118,,,,,,,,
2016-07,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,7,2096,,,,,,,,
2016-07,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,401,5383,,,,,,,,
2016-07,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,412,11740,,,,,,,,
2016-08,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,103,2187,,,,,,,,
2016-08,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,115,3011,,,,,,,,
2016-08,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,455,5341,,,,,,,,
2016-08,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,338,5927,,,,,,,,
2016-08,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,982,21023,,,,,,,,
2016-08,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,93,1348,,,,,,,,
2016-08,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,642,5853,,,,,,,,
2016-09,"Centro Hospitalar do Médio Ave, E.P.E.",Norte,116,3439,,,,,,,,
2016-09,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,16,1692,,,,,,,,
2016-09,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,1177,6640,,,,,,,,
2016-09,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,331,10935,,,,,,,,
2016-09,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,478,5652,,,,,,,,
2016-09,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,689,4987,,,,,,,,
2016-10,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,2,,,,,,,,
2016-10,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,53,2186,,,,,,,,
2016-10,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,166,2216,,,,,,,,
2016-10,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,490,11152,,,,,,,,
2016-10,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,147,3272,,,,,,,,
2016-10,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,552,7444,,,,,,,,
2016-10,"Unidade Local de Saúde de Matosinhos, E.P.E.",Norte,448,6121,,,,,,,,
2016-10,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,330,10681,,,,,,,,
2016-10,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,334,4356,,,,,,,,
2016-10,"Hospital Garcia da Orta, E.P.E.",LVT,407,13073,,,,,,,,
2016-10,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,989,12978,,,,,,,,
2016-10,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1243,20510,,,,,,,,
2016-10,"Centro Hospitalar Universitário do Porto, E.P.E.",Norte,1057,14444,,,,,,,,
2016-11,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,455,12043,,,,,,,,
2016-11,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,487,13853,,,,,,,,
2016-11,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,712,13684,,,,,,,,
2016-11,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,2335,31401,,,,,,,,
2016-11,"Centro Hospitalar Universitário do Porto, E.P.E.",Norte,1373,14771,,,,,,,,
2016-11,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,162,1486,,,,,,,,
2016-12,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,17,506,,,,,,,,
2016-12,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,4,,,,,,,,
2016-12,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,359,6018,,,,,,,,
2016-12,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,366,6864,,,,,,,,
2016-12,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,333,12179,,,,,,,,
2016-12,"Unidade Local de Saúde de Matosinhos, E.P.E.",Norte,454,6403,,,,,,,,
2016-12,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,386,14873,,,,,,,,
2016-12,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,1376,15899,,,,,,,,
2016-12,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,2495,33529,,,,,,,,
2016-12,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,519,5327,,,,,,,,
2016-12,"Hospital de Magalhaes de Lemos, E.P.E.",Norte,0,297,,,,,,,,
2017-01,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,6,,,,,,,,
2017-01,"Unidade Local de Saúde de Matosinhos, E.P.E.",Norte,296,6459,,,,,,,,
2017-01,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,522,16824,,,,,,,,
2017-02,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,6,428,,,,,,,,
2017-02,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,8,,,,,,,,
2017-02,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,31,2201,,,,,,,,
2017-02,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,54,1883,,,,,,,,
2017-02,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,296,6617,,,,,,,,
2017-02,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,497,7870,,,,,,,,
2017-02,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,494,7820,,,,,,,,
2017-02,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,284,10707,,,,,,,,
2017-02,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,593,13914,,,,,,,,
2017-02,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,808,13179,,,,,,,,
2017-02,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,2374,29418,,,,,,,,
2017-02,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.",LVT,1671,26768,,,,,,,,
2017-02,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1036,17997,,,,,,,,
2017-02,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1160,23203,,,,,,,,
2017-02,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,615,5749,,,,,,,,
2017-03,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,4,324,,,,,,,,
2017-03,"Centro Hospitalar do Oeste, E.P.E.",LVT,450,7158,,,,,,,,
2017-03,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,123,2921,,,,,,,,
2017-03,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,131,5302,,,,,,,,
2017-03,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,369,6986,,,,,,,,
2017-03,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,983,7424,,,,,,,,
2017-03,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,487,7842,,,,,,,,
2017-03,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,598,8263,,,,,,,,
2017-03,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,321,4908,,,,,,,,
2017-03,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,666,14725,,,,,,,,
2017-03,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,370,4929,,,,,,,,
2017-03,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,407,5711,,,,,,,,
2017-04,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,396,5326,,,,,,,,
2017-04,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,295,5748,,,,,,,,
2017-04,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,172,2914,,,,,,,,
2017-04,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,470,7391,,,,,,,,
2017-04,"Hospital Distrital de Santarém, E.P.E.",LVT,421,7089,,,,,,,,
2017-04,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,324,10206,,,,,,,,
2017-04,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,438,13508,,,,,,,,
2017-04,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1099,24110,,,,,,,,
2017-04,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,540,5648,,,,,,,,
2017-04,"Hospital de Magalhaes de Lemos, E.P.E.",Norte,0,290,,,,,,,,
2017-05,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,5,341,,,,,,,,
2017-05,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,3,,,,,,,,
2017-05,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,48,1628,,,,,,,,
2017-05,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,310,6004,,,,,,,,
2017-05,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,385,6316,,,,,,,,
2017-05,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,943,12640,,,,,,,,
2017-05,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.",LVT,2109,25195,,,,,,,,
2017-05,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,165,1439,,,,,,,,
2017-06,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,18,401,,,,,,,,
2017-06,"Centro Hospitalar do Médio Ave, E.P.E.",Norte,110,3333,,,,,,,,
2017-06,"Centro Hospitalar do Oeste, E.P.E.",LVT,550,6424,,,,,,,,
2017-06,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,80,1575,,,,,,,,
2017-06,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,130,1975,,,,,,,,
2017-06,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,11,1483,,,,,,,,
2017-06,"Centro Hospitalar de Setúbal, E.P.E.",LVT,270,6948,,,,,,,,
2017-06,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,860,7712,,,,,,,,
2017-06,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,337,9924,,,,,,,,
2017-06,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,648,7672,,,,,,,,
2017-06,"Centro Hospitalar Universitário do Porto, E.P.E.",Norte,1061,14077,,,,,,,,
2017-07,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,91,,,,,,,,
2017-07,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,136,2051,,,,,,,,
2017-07,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,412,4328,,,,,,,,
2017-07,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,181,4452,,,,,,,,
2017-07,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,479,9335,,,,,,,,
2017-07,"Centro Hospitalar de Setúbal, E.P.E.",LVT,314,5776,,,,,,,,
2017-07,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,881,6668,,,,,,,,
2017-07,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,1239,13912,,,,,,,,
2017-07,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.",LVT,1897,26417,,,,,,,,
2017-08,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,43,2062,,,,,,,,
2017-08,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.",Norte,134,5284,,,,,,,,
2017-08,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,364,9848,,,,,,,,
2017-08,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,843,6862,,,,,,,,
2017-08,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,564,6737,,,,,,,,
2017-08,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,283,3782,,,,,,,,
2017-08,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,456,13656,,,,,,,,
2017-08,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,1490,11959,,,,,,,,
2017-09,Hospital Dr. Francisco Zagalo  - Ovar,Centro,8,269,,,,,,,,
2017-09,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,382,4068,,,,,,,,
